# Rossa-Feres, D. C. (Ed.) 2024. Girinos do Brasil. São Paulo: Anolis Books, 828 p.
# ISBN 978-65-992458-3-1
# Sumário transcrito das 4 fotos das páginas iniciais.
# Cada linha = uma espécie tratada no livro (uma prancha).
# Grafias corrigidas quando o livro tem typo tipográfico óbvio (marcadas com # note).
# Formato: Genus epithet[TAB]# opcional: nota

# ---- ALSODIDAE ----
Limnomedusa macroglossa

# ---- AROMOBATIDAE ----
Allobates femoralis
Allobates olfersioides
Allobates sumtuosus
Anomaloglossus stepheni

# ---- BUFONIDAE ----
Amazophrynella manaos
Atelopus manauensis
Dendrophryniscus leucomystax
Frostius pernambucensis
Melanophryniscus atroluteus
Melanophryniscus cambaraensis
Melanophryniscus devincenzii
Melanophryniscus dorsalis
Melanophryniscus montevidensis
Melanophryniscus pachyrhynus
Melanophryniscus sanmartini
Melanophryniscus vilavelhensis
Rhinella cerradensis
Rhinella crucifer
Rhinella diptycha
Rhinella dorbignyi
Rhinella granulosa
Rhinella henseli
Rhinella hoogmoedi
Rhinella icterica
Rhinella marina
Rhinella merianae
Rhinella ornata
Rhinella proboscidea
Rhinella rubescens

# ---- CENTROLENIDAE ----
Hyalinobatrachium tricolor
Vitreorana eurygnatha
Vitreorana parvula
Vitreorana ritae

# ---- CERATOPHRYIDAE ----
Ceratophrys aurita
Ceratophrys cornuta
Ceratophrys cranwelli

# ---- CYCLORAMPHIDAE ----
Cycloramphus boraceiensis
Cycloramphus lutzorum      # livro grafa "Cycloramphys lutzorum" (typo tipográfico)
Thoropa megatympanum
Thoropa miliaris
Thoropa taophora

# ---- DENDROBATIDAE ----
Adelphobates galactonotus
Ameerega flavopicta
Ameerega hahneli
Ameerega pulchripecta

# ---- HEMIPHRACTIDAE ----
# (No livro consta Fritziana ohausi; NÃO adicionar ao banco — família excluída
#  do escopo (girino direct-developer), ver feedback-brachycephaloidea-exclusion.)
# Fritziana ohausi        # SKIP

# ---- HYLIDAE (Hylinae, Cophomantini) ----
Aplastodiscus albosignatus
Aplastodiscus arildae
Aplastodiscus cavicola
Aplastodiscus ehrhardti
Aplastodiscus eugenioi
Aplastodiscus ibirapitanga
Aplastodiscus leucopygius
Aplastodiscus perviridis
Aplastodiscus sibilatus
Boana albomarginata
Boana albopunctata
Boana atlantica
Boana bischoffi
