family	species	dias_refs_count
Allophrynidae	Allophryne relicta	0
Allophrynidae	Allophryne resplendens	0
Allophrynidae	Allophryne ruthveni	1
Alsodidae	Limnomedusa macroglossa	7
Aromobatidae	Allobates albiventris	0
Aromobatidae	Allobates bacurau	0
Aromobatidae	Allobates brunneus	2
Aromobatidae	Allobates caeruleodactylus	1
Aromobatidae	Allobates caldwellae	0
Aromobatidae	Allobates carajas	0
Aromobatidae	Allobates conspicuus	0
Aromobatidae	Allobates crombiei	0
Aromobatidae	Allobates femoralis	5
Aromobatidae	Allobates flaviventris	0
Aromobatidae	Allobates fuscellus	0
Aromobatidae	Allobates gasconi	0
Aromobatidae	Allobates goianus	1
Aromobatidae	Allobates grillicantus	0
Aromobatidae	Allobates grillisimilis	0
Aromobatidae	Allobates hodli	1
Aromobatidae	Allobates juami	0
Aromobatidae	Allobates kamilae	0
Aromobatidae	Allobates magnussoni	0
Aromobatidae	Allobates marchesianus	3
Aromobatidae	Allobates masniger	0
Aromobatidae	Allobates myersi	0
Aromobatidae	Allobates nidicola	0
Aromobatidae	Allobates nunciatus	0
Aromobatidae	Allobates pacaas	0
Aromobatidae	Allobates paleci	0
Aromobatidae	Allobates paleovarzensis	1
Aromobatidae	Allobates ripicolus	0
Aromobatidae	Allobates subfolionidificans	1
Aromobatidae	Allobates sumtuosus	1
Aromobatidae	Allobates tapajos	0
Aromobatidae	Allobates tinae	1
Aromobatidae	Allobates trilineatus	0
Aromobatidae	Allobates vanzolinius	0
Aromobatidae	Allobates velocicantus	1
Aromobatidae	Anomaloglossus apiau	0
Aromobatidae	Anomaloglossus baeobatrachus	0
Aromobatidae	Anomaloglossus stepheni	2
Aromobatidae	Anomaloglossus tamacuarensis	1
Aromobatidae	Anomaloglossus tepequem	0
Aromobatidae	Dryadobates alagoanus	0
Aromobatidae	Dryadobates bokermanni	0
Aromobatidae	Dryadobates capixaba	0
Aromobatidae	Dryadobates carioca	0
Aromobatidae	Dryadobates erythropus	0
Aromobatidae	Dryadobates lutzi	0
Aromobatidae	Dryadobates olfersioides	0
Bufonidae	Adhaerobufo ceratophrys	0
Bufonidae	Amazophrynella bilinguis	0
Bufonidae	Amazophrynella bokermanni	0
Bufonidae	Amazophrynella gardai	0
Bufonidae	Amazophrynella manaos	1
Bufonidae	Amazophrynella minuta	0
Bufonidae	Amazophrynella moisesii	0
Bufonidae	Amazophrynella siona	1
Bufonidae	Amazophrynella teko	1
Bufonidae	Amazophrynella vote	0
Bufonidae	Amazophrynella xinguensis	0
Bufonidae	Atelopus flavescens	3
Bufonidae	Atelopus franciscus	1
Bufonidae	Atelopus hoogmoedi	0
Bufonidae	Atelopus manauensis	1
Bufonidae	Dendrophryniscus berthalutzae	0
Bufonidae	Dendrophryniscus brevipollicatus	4
Bufonidae	Dendrophryniscus carvalhoi	0
Bufonidae	Dendrophryniscus cuca	0
Bufonidae	Dendrophryniscus davori	0
Bufonidae	Dendrophryniscus haddadi	0
Bufonidae	Dendrophryniscus imitator	0
Bufonidae	Dendrophryniscus izecksohni	0
Bufonidae	Dendrophryniscus jureia	0
Bufonidae	Dendrophryniscus krausae	0
Bufonidae	Dendrophryniscus lauroi	0
Bufonidae	Dendrophryniscus leucomystax	1
Bufonidae	Dendrophryniscus oreites	0
Bufonidae	Dendrophryniscus organensis	0
Bufonidae	Dendrophryniscus proboscideus	0
